미션명,패치URL,이미지 URL,동영상 URL,공식 웹페이지,로켓 이동경로 이미지
CSG-3,https://spacexpatchlist.space,https://www.spacex.com/static/images/share.jpg,https://www.youtube.com/watch?v=v42tZKmJE_Q,https://www.spacex.com/launches/cosmo-skymedfm3,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_LANDING_ZONE_DESKTOP_ab4e183b01.webp
Starlink Group 15-13,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=8rJx6YbcFx0,https://www.spacex.com/launches/sl-15-13,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_DRONESHIP_DESKTOP_f7b8e9c3d4.webp
Starlink Group 15-12,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=HHDmFKHWT2E,https://www.spacex.com/launches/sl-15-12,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_DRONESHIP_DESKTOP_f7b8e9c3d4.webp
Starlink Group 15-11,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=5GDcEXT6mCQ,https://www.spacex.com/launches/sl-15-11,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_DRONESHIP_DESKTOP_f7b8e9c3d4.webp
NROL-77,https://spacexpatchlist.space,https://www.spacex.com/launches/nrol77,https://www.youtube.com/watch?v=CMJz_kRcQZE,https://www.spacex.com/launches/nrol77,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_LANDING_ZONE_DESKTOP_34a3d0ee3c.webp
Starlink Group 15-10,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=bjMWs_W_WKM,https://www.spacex.com/launches/sl-15-10,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_DRONESHIP_DESKTOP_f7b8e9c3d4.webp
Transporter 15,https://spacexpatchlist.space,https://www.exolaunch.com/mission_41,https://www.youtube.com/watch?v=5xdMcNIgPoA,https://www.spacex.com/launches/transporter-15,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Sentinel-6B,https://spacexpatchlist.space,https://www.spacex.com/launches/sentinel-6b,https://www.youtube.com/watch?v=6tyr0ld2ZB4,https://www.spacex.com/launches/sentinel-6b,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_CALIFORNIA_LANDING_ZONE_DESKTOP_ab4e183b01.webp
Starlink Group 6-99,https://spacexpatchlist.space,https://spacexpatchlist.space,https://www.youtube.com/watch?v=JD05O8b1kKM,https://www.spacex.com/launches/sl-6-99,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_DRONESHIP_DESKTOP_99b12d8c08.webp
Bandwagon 4,https://spacexpatchlist.space,https://www.exolaunch.com/mission_40,https://www.youtube.com/watch?v=5-gB0HPhOME,https://www.spacex.com/launches/bandwagon-4,https://sxcontent9668.azureedge.us/cms-assets/assets/F9_LANDING_ZONE_DESKTOP_34a3d0ee3c.webp
